slug	count	file_count	files	locations
invocation	19	19	.repo_studios/docs/automation/analyze_test_hardening.md,.repo_studios/docs/automation/collect_faulthandler_reports.md,.repo_studios/docs/automation/collect_test_log_reports.md,.repo_studios/docs/automation/diff_standards_index.md,.repo_studios/docs/automation/extract_standards_rules.md,.repo_studios/docs/automation/generate_dependency_hygiene_report.md,.repo_studios/docs/automation/generate_lizard_report.md,.repo_studios/docs/automation/generate_standards_index.md,.repo_studios/docs/automation/generate_test_coverage_inventory.md,.repo_studios/docs/automation/generate_typecheck_report.md,.repo_studios/docs/automation/render_inventory_views.md,.repo_studios/docs/automation/scan_code_placeholders.md,.repo_studios/docs/automation/scan_monkey_patches.md,.repo_studios/docs/automation/seed_standards_prompts.md,.repo_studios/docs/automation/validate_import_boundaries.md,.repo_studios/docs/automation/validate_inventory.md,.repo_studios/docs/automation/validate_markdown_anchors.md,.repo_studios/docs/automation/validate_metrics_anchor_stubs.md,.repo_studios/docs/automation/verify_docs_integrity.md	.repo_studios/docs/automation/analyze_test_hardening.md:9;.repo_studios/docs/automation/collect_faulthandler_reports.md:9;.repo_studios/docs/automation/collect_test_log_reports.md:9;.repo_studios/docs/automation/diff_standards_index.md:9;.repo_studios/docs/automation/extract_standards_rules.md:50;.repo_studios/docs/automation/generate_dependency_hygiene_report.md:9;.repo_studios/docs/automation/generate_lizard_report.md:9;.repo_studios/docs/automation/generate_standards_index.md:9;.repo_studios/docs/automation/generate_test_coverage_inventory.md:9;.repo_studios/docs/automation/generate_typecheck_report.md:5;.repo_studios/docs/automation/render_inventory_views.md:5;.repo_studios/docs/automation/scan_code_placeholders.md:9;.repo_studios/docs/automation/scan_monkey_patches.md:9;.repo_studios/docs/automation/seed_standards_prompts.md:9;.repo_studios/docs/automation/validate_import_boundaries.md:9;.repo_studios/docs/automation/validate_inventory.md:5;.repo_studios/docs/automation/validate_markdown_anchors.md:9;.repo_studios/docs/automation/validate_metrics_anchor_stubs.md:12;.repo_studios/docs/automation/verify_docs_integrity.md:7
outputs	18	18	.repo_studios/docs/automation/analyze_test_hardening.md,.repo_studios/docs/automation/collect_faulthandler_reports.md,.repo_studios/docs/automation/collect_test_log_reports.md,.repo_studios/docs/automation/diff_standards_index.md,.repo_studios/docs/automation/generate_dependency_hygiene_report.md,.repo_studios/docs/automation/generate_lizard_report.md,.repo_studios/docs/automation/generate_standards_index.md,.repo_studios/docs/automation/generate_test_coverage_inventory.md,.repo_studios/docs/automation/generate_typecheck_report.md,.repo_studios/docs/automation/render_inventory_views.md,.repo_studios/docs/automation/scan_code_placeholders.md,.repo_studios/docs/automation/scan_monkey_patches.md,.repo_studios/docs/automation/seed_standards_prompts.md,.repo_studios/docs/automation/validate_import_boundaries.md,.repo_studios/docs/automation/validate_inventory.md,.repo_studios/docs/automation/validate_markdown_anchors.md,.repo_studios/docs/automation/validate_metrics_anchor_stubs.md,.repo_studios/docs/playbooks/playbook-memory-refresh.md	.repo_studios/docs/automation/analyze_test_hardening.md:30;.repo_studios/docs/automation/collect_faulthandler_reports.md:30;.repo_studios/docs/automation/collect_test_log_reports.md:29;.repo_studios/docs/automation/diff_standards_index.md:38;.repo_studios/docs/automation/generate_dependency_hygiene_report.md:32;.repo_studios/docs/automation/generate_lizard_report.md:37;.repo_studios/docs/automation/generate_standards_index.md:40;.repo_studios/docs/automation/generate_test_coverage_inventory.md:37;.repo_studios/docs/automation/generate_typecheck_report.md:26;.repo_studios/docs/automation/render_inventory_views.md:21;.repo_studios/docs/automation/scan_code_placeholders.md:37;.repo_studios/docs/automation/scan_monkey_patches.md:39;.repo_studios/docs/automation/seed_standards_prompts.md:32;.repo_studios/docs/automation/validate_import_boundaries.md:30;.repo_studios/docs/automation/validate_inventory.md:22;.repo_studios/docs/automation/validate_markdown_anchors.md:29;.repo_studios/docs/automation/validate_metrics_anchor_stubs.md:36;.repo_studios/docs/playbooks/playbook-memory-refresh.md:64
purpose	18	18	.repo_studios/docs/automation/analyze_test_hardening.md,.repo_studios/docs/automation/collect_faulthandler_reports.md,.repo_studios/docs/automation/collect_test_log_reports.md,.repo_studios/docs/automation/diff_standards_index.md,.repo_studios/docs/automation/extract_standards_rules.md,.repo_studios/docs/automation/generate_dependency_hygiene_report.md,.repo_studios/docs/automation/generate_doc_index.md,.repo_studios/docs/automation/generate_lizard_report.md,.repo_studios/docs/automation/generate_standards_index.md,.repo_studios/docs/automation/generate_test_coverage_inventory.md,.repo_studios/docs/automation/scan_code_placeholders.md,.repo_studios/docs/automation/scan_monkey_patches.md,.repo_studios/docs/automation/seed_standards_prompts.md,.repo_studios/docs/automation/traceability/aggregator_dependency_audit.md,.repo_studios/docs/automation/validate_import_boundaries.md,.repo_studios/docs/automation/validate_markdown_anchors.md,.repo_studios/docs/automation/validate_metrics_anchor_stubs.md,.repo_studios/docs/standards/global/std-global-prompt-engineering.md	.repo_studios/docs/automation/analyze_test_hardening.md:5;.repo_studios/docs/automation/collect_faulthandler_reports.md:5;.repo_studios/docs/automation/collect_test_log_reports.md:5;.repo_studios/docs/automation/diff_standards_index.md:5;.repo_studios/docs/automation/extract_standards_rules.md:5;.repo_studios/docs/automation/generate_dependency_hygiene_report.md:5;.repo_studios/docs/automation/generate_doc_index.md:5;.repo_studios/docs/automation/generate_lizard_report.md:5;.repo_studios/docs/automation/generate_standards_index.md:5;.repo_studios/docs/automation/generate_test_coverage_inventory.md:5;.repo_studios/docs/automation/scan_code_placeholders.md:5;.repo_studios/docs/automation/scan_monkey_patches.md:5;.repo_studios/docs/automation/seed_standards_prompts.md:5;.repo_studios/docs/automation/traceability/aggregator_dependency_audit.md:3;.repo_studios/docs/automation/validate_import_boundaries.md:5;.repo_studios/docs/automation/validate_markdown_anchors.md:5;.repo_studios/docs/automation/validate_metrics_anchor_stubs.md:5;.repo_studios/docs/standards/global/std-global-prompt-engineering.md:29
testing	18	18	.repo_studios/docs/automation/analyze_test_hardening.md,.repo_studios/docs/automation/collect_faulthandler_reports.md,.repo_studios/docs/automation/collect_test_log_reports.md,.repo_studios/docs/automation/diff_standards_index.md,.repo_studios/docs/automation/extract_standards_rules.md,.repo_studios/docs/automation/generate_dependency_hygiene_report.md,.repo_studios/docs/automation/generate_lizard_report.md,.repo_studios/docs/automation/generate_standards_index.md,.repo_studios/docs/automation/generate_test_coverage_inventory.md,.repo_studios/docs/automation/generate_typecheck_report.md,.repo_studios/docs/automation/render_inventory_views.md,.repo_studios/docs/automation/scan_code_placeholders.md,.repo_studios/docs/automation/scan_monkey_patches.md,.repo_studios/docs/automation/seed_standards_prompts.md,.repo_studios/docs/automation/validate_import_boundaries.md,.repo_studios/docs/automation/validate_inventory.md,.repo_studios/docs/automation/validate_markdown_anchors.md,.repo_studios/docs/automation/validate_metrics_anchor_stubs.md	.repo_studios/docs/automation/analyze_test_hardening.md:53;.repo_studios/docs/automation/collect_faulthandler_reports.md:54;.repo_studios/docs/automation/collect_test_log_reports.md:56;.repo_studios/docs/automation/diff_standards_index.md:58;.repo_studios/docs/automation/extract_standards_rules.md:86;.repo_studios/docs/automation/generate_dependency_hygiene_report.md:64;.repo_studios/docs/automation/generate_lizard_report.md:70;.repo_studios/docs/automation/generate_standards_index.md:72;.repo_studios/docs/automation/generate_test_coverage_inventory.md:59;.repo_studios/docs/automation/generate_typecheck_report.md:47;.repo_studios/docs/automation/render_inventory_views.md:45;.repo_studios/docs/automation/scan_code_placeholders.md:77;.repo_studios/docs/automation/scan_monkey_patches.md:77;.repo_studios/docs/automation/seed_standards_prompts.md:59;.repo_studios/docs/automation/validate_import_boundaries.md:55;.repo_studios/docs/automation/validate_inventory.md:46;.repo_studios/docs/automation/validate_markdown_anchors.md:47;.repo_studios/docs/automation/validate_metrics_anchor_stubs.md:64
operational-notes	15	15	.repo_studios/docs/automation/analyze_test_hardening.md,.repo_studios/docs/automation/collect_faulthandler_reports.md,.repo_studios/docs/automation/collect_test_log_reports.md,.repo_studios/docs/automation/diff_standards_index.md,.repo_studios/docs/automation/generate_dependency_hygiene_report.md,.repo_studios/docs/automation/generate_lizard_report.md,.repo_studios/docs/automation/generate_standards_index.md,.repo_studios/docs/automation/generate_test_coverage_inventory.md,.repo_studios/docs/automation/scan_code_placeholders.md,.repo_studios/docs/automation/scan_monkey_patches.md,.repo_studios/docs/automation/seed_standards_prompts.md,.repo_studios/docs/automation/validate_import_boundaries.md,.repo_studios/docs/automation/validate_markdown_anchors.md,.repo_studios/docs/automation/validate_metrics_anchor_stubs.md,.repo_studios/docs/directory_layout.md	.repo_studios/docs/automation/analyze_test_hardening.md:59;.repo_studios/docs/automation/collect_faulthandler_reports.md:60;.repo_studios/docs/automation/collect_test_log_reports.md:62;.repo_studios/docs/automation/diff_standards_index.md:62;.repo_studios/docs/automation/generate_dependency_hygiene_report.md:69;.repo_studios/docs/automation/generate_lizard_report.md:75;.repo_studios/docs/automation/generate_standards_index.md:77;.repo_studios/docs/automation/generate_test_coverage_inventory.md:64;.repo_studios/docs/automation/scan_code_placeholders.md:83;.repo_studios/docs/automation/scan_monkey_patches.md:83;.repo_studios/docs/automation/seed_standards_prompts.md:65;.repo_studios/docs/automation/validate_import_boundaries.md:61;.repo_studios/docs/automation/validate_markdown_anchors.md:55;.repo_studios/docs/automation/validate_metrics_anchor_stubs.md:71;.repo_studios/docs/directory_layout.md:25
agent-block-machine-readable	10	10	.repo_studios/docs/playbooks/playbook-agent-operations.md,.repo_studios/docs/playbooks/playbook-memory-refresh.md,.repo_studios/docs/playbooks/playbook-migration.md,.repo_studios/docs/playbooks/playbook-prompt-library.md,.repo_studios/docs/standards/global/std-global-html-coding.md,.repo_studios/docs/standards/global/std-global-markdown-authoring.md,.repo_studios/docs/standards/global/std-global-monkey-patching.md,.repo_studios/docs/standards/global/std-global-prompt-engineering.md,.repo_studios/docs/standards/global/std-global-python-engineering.md,.repo_studios/docs/standards/project/std-project-operating-standard.md	.repo_studios/docs/playbooks/playbook-agent-operations.md:96;.repo_studios/docs/playbooks/playbook-memory-refresh.md:113;.repo_studios/docs/playbooks/playbook-migration.md:76;.repo_studios/docs/playbooks/playbook-prompt-library.md:74;.repo_studios/docs/standards/global/std-global-html-coding.md:126;.repo_studios/docs/standards/global/std-global-markdown-authoring.md:152;.repo_studios/docs/standards/global/std-global-monkey-patching.md:178;.repo_studios/docs/standards/global/std-global-prompt-engineering.md:143;.repo_studios/docs/standards/global/std-global-python-engineering.md:280;.repo_studios/docs/standards/project/std-project-operating-standard.md:132
diagnostics	7	7	.repo_studios/docs/automation/collect_faulthandler_reports.md,.repo_studios/docs/automation/collect_test_log_reports.md,.repo_studios/docs/automation/scan_code_placeholders.md,.repo_studios/docs/automation/scan_monkey_patches.md,.repo_studios/docs/automation/seed_standards_prompts.md,.repo_studios/docs/automation/validate_import_boundaries.md,.repo_studios/docs/automation/validate_metrics_anchor_stubs.md	.repo_studios/docs/automation/collect_faulthandler_reports.md:42;.repo_studios/docs/automation/collect_test_log_reports.md:42;.repo_studios/docs/automation/scan_code_placeholders.md:57;.repo_studios/docs/automation/scan_monkey_patches.md:69;.repo_studios/docs/automation/seed_standards_prompts.md:52;.repo_studios/docs/automation/validate_import_boundaries.md:48;.repo_studios/docs/automation/validate_metrics_anchor_stubs.md:56
status-semantics	6	6	.repo_studios/docs/automation/diff_standards_index.md,.repo_studios/docs/automation/generate_dependency_hygiene_report.md,.repo_studios/docs/automation/generate_lizard_report.md,.repo_studios/docs/automation/generate_standards_index.md,.repo_studios/docs/automation/generate_test_coverage_inventory.md,.repo_studios/docs/automation/validate_markdown_anchors.md	.repo_studios/docs/automation/diff_standards_index.md:50;.repo_studios/docs/automation/generate_dependency_hygiene_report.md:51;.repo_studios/docs/automation/generate_lizard_report.md:63;.repo_studios/docs/automation/generate_standards_index.md:66;.repo_studios/docs/automation/generate_test_coverage_inventory.md:51;.repo_studios/docs/automation/validate_markdown_anchors.md:38
anchor-health-reminder	4	4	.repo_studios/docs/standards/global/std-global-monkey-patching.md,.repo_studios/docs/standards/global/std-global-prompt-engineering.md,.repo_studios/docs/standards/global/std-global-python-engineering.md,.repo_studios/docs/standards/project/std-project-operating-standard.md	.repo_studios/docs/standards/global/std-global-monkey-patching.md:172;.repo_studios/docs/standards/global/std-global-prompt-engineering.md:137;.repo_studios/docs/standards/global/std-global-python-engineering.md:274;.repo_studios/docs/standards/project/std-project-operating-standard.md:126
references	4	4	.repo_studios/docs/automation/refactor_library_integration_notes.md,.repo_studios/docs/standards/global/std-global-html-coding.md,.repo_studios/docs/standards/global/std-global-monkey-patching.md,.repo_studios/docs/standards/global/std-global-prompt-engineering.md	.repo_studios/docs/automation/refactor_library_integration_notes.md:92;.repo_studios/docs/standards/global/std-global-html-coding.md:120;.repo_studios/docs/standards/global/std-global-monkey-patching.md:164;.repo_studios/docs/standards/global/std-global-prompt-engineering.md:129
