category	metric	status	score	value
freshness	modules_with_code_churn	warning	66.67	3
freshness	modules_with_doc_updates	warning	66.67	2
freshness	modules_without_doc_updates	warning	66.67	1
freshness	allowlisted_modules	warning	66.67	[]
coverage	modules_scanned	critical	58.72	85
coverage	modules_with_findings	critical	58.72	39
coverage	entities_scanned	critical	58.72	906
coverage	entities_missing_docs	critical	58.72	374
coverage	docstring_coverage_percent	critical	58.72	58.72
structure	total_documents	critical	10.18	200
structure	documents_missing_h1	critical	10.18	7
structure	documents_missing_h2	critical	10.18	3
structure	documents_with_cross_file_duplicates	critical	10.18	169
structure	documents_with_repeated_anchors	critical	10.18	7
structure	cross_file_duplicates	critical	10.18	167
structure	total_slugs	critical	10.18	1168
structure	anchor_validation_issue_count	critical	10.18	84
structure	anchor_validation_status	critical	10.18	fail
integrity	docs_integrity_status	healthy	100.00	ok
integrity	mismatched_blocks	healthy	100.00	0
integrity	json_blocks_checked	healthy	100.00	2
integrity	documents_processed	healthy	100.00	1
integrity	missing_metrics_stubs	healthy	100.00	0
integrity	anchors_referenced	healthy	100.00	0
hygiene	placeholder_total_matches	healthy	100.00	0
hygiene	placeholder_status	healthy	100.00	ok
